Nombre_evento,mes,dia_inicio,dia_finalizacion,comunidad,municipio,macroregion,tipo-agenda,descripcion,tipo_evento,abierto/cerrado,foto
Conmemoración del mes de la mujer ,marzo ,31,31,Corregimiento Las Mercedes y vereda Casa de Piedra,San Jacinto,Montes de María,Conmemoración internacional,"Se conmemorará el mes de la  mujer con un partido de futbol femenino para derrumbar estereotipos de género, una muestra de los productos hechos a mano que realizan las mujeres de la comunidad y el compartir de un mote de queso, plato típico de la región para diálogar sobre el liderazgo femenino.",Culturales y recreativas,abierto,"WhatsApp Image 2022-03-31 at 6_16_28 PM.jpeg (https://dl.airtable.com/.attachments/110cc974b3047905dbd88a600a71c7f0/579ef2c4/WhatsAppImage2022-03-31at6_16_28PM.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (1).jpeg (https://dl.airtable.com/.attachments/727b2163565ab4937988251b8f06961a/fee2d096/WhatsAppImage2022-03-31at6_16_29PM1.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (7).jpeg (https://dl.airtable.com/.attachments/775c409efc92dcd77f9e5766eb77b3c2/cfec97d4/WhatsAppImage2022-03-31at6_16_29PM7.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM.jpeg (https://dl.airtable.com/.attachments/1cfbf352015851ff38a2600ce48957c1/56613a54/WhatsAppImage2022-03-31at6_16_29PM.jpeg),WhatsApp Image 2022-03-31 at 6_18_21 PM.jpeg (https://dl.airtable.com/.attachments/417b25e659eb839db9a72ede1a6ee43c/f2bd2b72/WhatsAppImage2022-03-31at6_18_21PM.jpeg),WhatsApp Image 2022-03-31 at 6_18_22 PM (1).jpeg (https://dl.airtable.com/.attachments/481a8aa6dc5a852e9ca7ad27d0a0522a/fb43d9de/WhatsAppImage2022-03-31at6_18_22PM1.jpeg)"
"Jornadas lúdicas y deportivas ""Recreación incluyente para todos""",marzo ,31,31,Corregimiento Las Mercedes y vereda Casa de Piedra,San Jacinto,Montes de María,Conmemoración internacional,Jornadas de futbol femenino y masculino para promover el interes comunitario en actividades fisicas y recreativas para la integración.,Deportiva,cerrado,"WhatsApp Image 2022-03-31 at 6_16_29 PM (2).jpeg (https://dl.airtable.com/.attachments/91c2d7db5e74a5260f69c496700b9574/55eea9ff/WhatsAppImage2022-03-31at6_16_29PM2.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (3).jpeg (https://dl.airtable.com/.attachments/281c2a38d800bd77e98c81aed23682cd/c6cc2685/WhatsAppImage2022-03-31at6_16_29PM3.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (4).jpeg (https://dl.airtable.com/.attachments/47feb577ddab6a9ec70a89be9a1172bc/d90a03de/WhatsAppImage2022-03-31at6_16_29PM4.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (5).jpeg (https://dl.airtable.com/.attachments/116a0a4acd41e04309f9c5ea20cceae2/97990ef1/WhatsAppImage2022-03-31at6_16_29PM5.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (6).jpeg (https://dl.airtable.com/.attachments/a746c9a1409afc6a7ad543f855233eec/87dfb679/WhatsAppImage2022-03-31at6_16_29PM6.jpeg)"
TALLER DE INSPIRACIÓN SOLE + WLH,abril,1,1,Kwet Wala,Pradera,Cauca y Valle del Cauca,Conmemoración nacional,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,"WhatsApp Image 2022-03-31 at 6_16_29 PM (2).jpeg (https://dl.airtable.com/.attachments/40115d216e0f018bf0af78e3a04b599d/54e73143/WhatsAppImage2022-03-31at6_16_29PM2.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (6).jpeg (https://dl.airtable.com/.attachments/db6e38576272d1155c9aaf41ab416720/7fdd1de0/WhatsAppImage2022-03-31at6_16_29PM6.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (3).jpeg (https://dl.airtable.com/.attachments/7c72344c5e3e64fa8798f053b5fadec6/7fe3f919/WhatsAppImage2022-03-31at6_16_29PM3.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (5).jpeg (https://dl.airtable.com/.attachments/81df8682d6a90d57dfdf265defb2f769/340be37b/WhatsAppImage2022-03-31at6_16_29PM5.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (4).jpeg (https://dl.airtable.com/.attachments/d619de920f65cc89bd6bb6ba420295c9/141ef0a6/WhatsAppImage2022-03-31at6_16_29PM4.jpeg)"
Primer Sole Resguardo Kewt-Wala,abril,1,1,Kwet Wala,Pradera,Cauca y Valle del Cauca,Agenda cultural WLH,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,,abierto,
TALLER DE INSPIRACIÓN SOLE + WLH,abril,4,4,La Borrachera,El Bagre,Antioquia,Agenda cultural WLH,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,"WhatsApp Image 2022-03-31 at 6_16_29 PM (3).jpeg (https://dl.airtable.com/.attachments/b7815de5167183c5c6b89f8039b85938/e713cba1/WhatsAppImage2022-03-31at6_16_29PM3.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (5).jpeg (https://dl.airtable.com/.attachments/5d52cdb98c9f5b0741e59d33868bb530/cea66051/WhatsAppImage2022-03-31at6_16_29PM5.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (6).jpeg (https://dl.airtable.com/.attachments/ad85b8d7b3615be3b416ccc76af7449c/3dccf4c1/WhatsAppImage2022-03-31at6_16_29PM6.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (4).jpeg (https://dl.airtable.com/.attachments/6b3ecc585b97e98128a220eec10e6227/adf78277/WhatsAppImage2022-03-31at6_16_29PM4.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (2).jpeg (https://dl.airtable.com/.attachments/d1b267c5ae20e36e457d6167d418f558/8cad42f6/WhatsAppImage2022-03-31at6_16_29PM2.jpeg)"
Primer SOLE El Bagre,abril,4,4,La Borrachera,El Bagre,Antioquia,Evento institucional,,Formación,abierto,"WhatsApp Image 2022-03-31 at 6_16_29 PM (2).jpeg (https://dl.airtable.com/.attachments/bbe79ae093fc0152b496835122c9b320/78f1487e/WhatsAppImage2022-03-31at6_16_29PM2.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (6).jpeg (https://dl.airtable.com/.attachments/cb416125a86dddb339035c81709aec3f/e4f30f0e/WhatsAppImage2022-03-31at6_16_29PM6.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (3).jpeg (https://dl.airtable.com/.attachments/c632517fd22d497612272a2f8e6c21c3/4befd632/WhatsAppImage2022-03-31at6_16_29PM3.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (5).jpeg (https://dl.airtable.com/.attachments/a787096185be03f0d4c14efb026b8a3b/4c9f842a/WhatsAppImage2022-03-31at6_16_29PM5.jpeg),WhatsApp Image 2022-03-31 at 6_16_29 PM (4).jpeg (https://dl.airtable.com/.attachments/22526e4ce210fd34e4577ab9fd3784c7/c37c5228/WhatsAppImage2022-03-31at6_16_29PM4.jpeg)"
TALLER DE INSPIRACIÓN SOLE + WLH,abril,5,5,Isla de la Amargura,Cáceres,Antioquia,Conmemoración nacional,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,"20220405_103831.jpg (https://dl.airtable.com/.attachments/5411ac034c3bf378df0f2e37aab93d42/8b319573/20220405_103831.jpg),20220405_104044.jpg (https://dl.airtable.com/.attachments/d3fa2abf326dfb220b3d3383a37f9d73/7aa4258e/20220405_104044.jpg),20220405_104510.jpg (https://dl.airtable.com/.attachments/e3fef22e971471bb96a5005e06904d0c/c4bf82f6/20220405_104510.jpg),20220405_104930.jpg (https://dl.airtable.com/.attachments/06875eeda1048ea758fdfa87cf6044ac/53b94306/20220405_104930.jpg),20220405_115228.jpg (https://dl.airtable.com/.attachments/253337781fcca3a7927ebd326bc5b04e/a5fc2a37/20220405_115228.jpg),20220405_115422.jpg (https://dl.airtable.com/.attachments/1d594d4b54eed20f46f913ae4273d702/cdf63988/20220405_115422.jpg),20220405_120635.jpg (https://dl.airtable.com/.attachments/462aae621894b4d9f2609927313bab8e/59c42ae6/20220405_120635.jpg),20220405_120811.jpg (https://dl.airtable.com/.attachments/b533f86b4167479262199efb89bf6b7b/7d8a67ea/20220405_120811.jpg),20220405_120855.jpg (https://dl.airtable.com/.attachments/3c5490db36289d4fcbea18b5b338606a/8200a06e/20220405_120855.jpg)"
TALLER DE INSPIRACIÓN SOLE + WLH,abril,5,5,Corregimiento La Caucana,Tarazá,Antioquia,Conmemoración internacional,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,
TALLER DE INSPIRACIÓN SOLE + WLH,abril,6,6,La Paulina,Valdivia,Antioquia,Conmemoración nacional,,Formación,abierto,"20220406_091304.jpg (https://dl.airtable.com/.attachments/3990cae6d71a4b8475f6c5cc32ad0520/28ff5ca4/20220406_091304.jpg),20220406_095411.jpg (https://dl.airtable.com/.attachments/efefe38cd1f49553bbc77065abcae89d/c5f796b1/20220406_095411.jpg),20220406_091306.jpg (https://dl.airtable.com/.attachments/db1c56babc2001a29fd1ba00c97dbbe4/d1296e17/20220406_091306.jpg),20220406_105835.jpg (https://dl.airtable.com/.attachments/10479a11cdc67b1851d7c87cb27df8f6/81fb74a4/20220406_105835.jpg)"
Primer SOLE Valdivia - La Paulina,mayo,7,7,La Paulina,Valdivia,Antioquia,,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,,abierto,"20220406_135947.jpg (https://dl.airtable.com/.attachments/d48acb000fc041935e0f79795beae0bd/f2d2d91f/20220406_135947.jpg),20220406_142916.jpg (https://dl.airtable.com/.attachments/1a84759ce1498faf7b2c3ec8536b0037/666d8ac6/20220406_142916.jpg),20220406_143039.jpg (https://dl.airtable.com/.attachments/b08e1fd007783b3d5ad2a2cd41381734/6d7305da/20220406_143039.jpg),20220406_145059.jpg (https://dl.airtable.com/.attachments/b216b0e42fdd0331c84bee9ab5589640/a89c0b99/20220406_145059.jpg),20220406_145901.jpg (https://dl.airtable.com/.attachments/840a73867365acaf6da4d3e51a3b701d/a32fd2da/20220406_145901.jpg),20220406_145903.jpg (https://dl.airtable.com/.attachments/7b588a6cc41352f109a9f9a71a157bf8/e7200e9f/20220406_145903.jpg),20220406_151433.jpg (https://dl.airtable.com/.attachments/ec559cc00e8c5741f2a4d160ca5dd753/88872e6a/20220406_151433.jpg)"
TALLER DE INSPIRACIÓN SOLE + WLH,abril,7,7,Vereda El Banco,Anorí,Antioquia,Conmemoración nacional,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,"20220406_145059.jpg (https://dl.airtable.com/.attachments/fd4972cc684b6a02a27cd6c35adebec2/234034c0/20220406_145059.jpg),20220406_145901.jpg (https://dl.airtable.com/.attachments/82e15b00a2ed9263ac92e555aa07d2f0/8d01a8f1/20220406_145901.jpg),20220406_143039.jpg (https://dl.airtable.com/.attachments/698757bf0c1d21b18c25528717d704f5/85d8ef12/20220406_143039.jpg),20220406_145903.jpg (https://dl.airtable.com/.attachments/bd9118c437044673cdd2395e7aa4052d/ce7d9e8d/20220406_145903.jpg),20220406_142916.jpg (https://dl.airtable.com/.attachments/87e63c736fa0ff2cebcde96c2daf1554/630e69c6/20220406_142916.jpg),20220406_135947.jpg (https://dl.airtable.com/.attachments/b696b8d42767c4b20e2c8d80787bf3aa/ca58239e/20220406_135947.jpg)"
Primer Sole Anorí,abril,7,7,Vereda El Banco,Anorí,Antioquia,Agenda cultural WLH,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,Formación,abierto,"20220407_104925.jpg (https://dl.airtable.com/.attachments/7af4bae7f02a8aa4176b2ea11edd6b7d/498b49d4/20220407_104925.jpg),20220407_111509.jpg (https://dl.airtable.com/.attachments/5d1fffae9041ab197107e17a2d77a4e9/bbc507f9/20220407_111509.jpg),20220407_113438.jpg (https://dl.airtable.com/.attachments/2cebe451ed8949ae1050e73b69c32599/43208690/20220407_113438.jpg),20220407_115111.jpg (https://dl.airtable.com/.attachments/c18405e508d8c60a7b68e937f9bf1c18/e28aae13/20220407_115111.jpg),20220407_130604.jpg (https://dl.airtable.com/.attachments/172d388984cbc8beac79fd6820f16ab0/82a6381a/20220407_130604.jpg)"
Día Internacional de información sobre el peligro de las minas y de asistencia para las actividades relativas a las minas,abril,,,,,,Agenda cultural WLH,,Conmemorativas,,
Día Internacional del Deporte para el Desarrollo y la Paz,abril,,,,,,Conmemoración nacional,,Conmemorativas,,
Feria de mujeres emprendedoras con corazón caucanero en el marco del Día de la memoria y solidaridad con las víctimas del conflicto,abril,9,9,Corregimiento La Caucana,Tarazá,Antioquia,Conmemoración nacional,,Conmemorativas,abierto,"20220407_104925 (1).jpg (https://dl.airtable.com/.attachments/cf99df71b4e095676b7c5190e6d576d4/b584485a/20220407_1049251.jpg),20220407_113438 (1).jpg (https://dl.airtable.com/.attachments/d106f56184c262c6d8efed3fc5c6d4c9/7fd9e1d4/20220407_1134381.jpg),20220407_111509 (1).jpg (https://dl.airtable.com/.attachments/f8ad62236984b5d12438df5b46b6ca51/b81ebf01/20220407_1115091.jpg),20220407_130604 (1).jpg (https://dl.airtable.com/.attachments/1a61701723a19254537b06e4e1d2d5d6/79e08ef9/20220407_1306041.jpg),20220407_115111 (1).jpg (https://dl.airtable.com/.attachments/72536ffb950505c85c4b3bc38a52931a/81675d96/20220407_1151111.jpg)"
Primer Encuentro Cuna de Gaiteros,abril,14,15,Corregimiento Las Mercedes y vereda Casa de Piedra,San Jacinto,Bolivar,Conmemoración internacional,Jornada de encuentro de los gaiteros de la comunidad para celebrar la tradición y recordar a los maestros que ya no están. ,Oficios y saberes,abierto,"20220407_104925 (2).jpg (https://dl.airtable.com/.attachments/eb27c2c421adc580f8f3b9c4fc4a00e8/7746b3fe/20220407_1049252.jpg),20220407_111509 (2).jpg (https://dl.airtable.com/.attachments/b5f45df759dfb9c270f40f73b932fe04/77a55e4f/20220407_1115092.jpg),20220407_113438 (2).jpg (https://dl.airtable.com/.attachments/3440da0eda9784facea96583ea12e68c/3fc1b613/20220407_1134382.jpg),20220407_115111 (2).jpg (https://dl.airtable.com/.attachments/b91fd790bd4b1f140496166da3e69008/ccad1325/20220407_1151112.jpg),20220407_130604 (2).jpg (https://dl.airtable.com/.attachments/a7edaa97e942995a6a699d7da80f85d1/5980361c/20220407_1306042.jpg)"
Capacitación equipo WLH en comunicación no violenta y manejo restaurativo de conflictos. ,abril ,19,20,Bogotá,Bogotá,Cundinamarca,Agenda cultural WLH,,Formación,cerrado,"20220407_113438.jpg (https://dl.airtable.com/.attachments/b620afeeb9b9903ff6e11d1628066ce8/0b86fd55/20220407_113438.jpg),20220407_104925.jpg (https://dl.airtable.com/.attachments/7ca42cd02870e12ccaa00986d626d234/951425ac/20220407_104925.jpg),20220407_130604.jpg (https://dl.airtable.com/.attachments/2bee284e6a646e4cf809c9e2d2fc84c2/53a0cfbd/20220407_130604.jpg),20220407_111509.jpg (https://dl.airtable.com/.attachments/cac95e481259258f7e88107c99252d3e/ec991b7d/20220407_111509.jpg),20220407_115111.jpg (https://dl.airtable.com/.attachments/86ed8d5ae87a417431c0a1098b3d3430/e2949852/20220407_115111.jpg)"
Entrega de tanques de agua y filtros para la comunidad,abril,19,21,Isla de la Amargura,Cáceres,Antioquia,,Se realizarán las Entregas de tanques para captar agua y filtros que permitan su purificación a varios miembros de la isla de la amargura en Cáceres.,Atención psicosocial,,"WhatsApp Image 2022-04-20 at 2_55_04 PM.jpeg (https://dl.airtable.com/.attachments/b83f6e7bafca05f7f42ca5e45edd2100/659e5db0/WhatsAppImage2022-04-20at2_55_04PM.jpeg),WhatsApp Image 2022-04-20 at 2_55_05 PM (1).jpeg (https://dl.airtable.com/.attachments/f8d30f3a0b75ec12fc3fa854a1a93440/76015faf/WhatsAppImage2022-04-20at2_55_05PM1.jpeg),WhatsApp Image 2022-04-20 at 2_55_05 PM (2).jpeg (https://dl.airtable.com/.attachments/6c61fcfb707e063aa0bc0a2b0423493c/6b9198a9/WhatsAppImage2022-04-20at2_55_05PM2.jpeg),WhatsApp Image 2022-04-20 at 2_55_05 PM (3).jpeg (https://dl.airtable.com/.attachments/0710f6af73e9afefd92e0b82b45636ff/131458de/WhatsAppImage2022-04-20at2_55_05PM3.jpeg),WhatsApp Image 2022-04-20 at 2_55_07 PM.jpeg (https://dl.airtable.com/.attachments/e6c5d20d86bda0850abc491ba9dd3613/63177696/WhatsAppImage2022-04-20at2_55_07PM.jpeg),WhatsApp Image 2022-04-20 at 3_28_07 PM.jpeg (https://dl.airtable.com/.attachments/f4368480a4d2e4ff75f2353e73bad10d/f34efa9b/WhatsAppImage2022-04-20at3_28_07PM.jpeg)"
Actividad caritas sonrientes con nilos y niñas de La Caucana,abril ,22,22,Corregimiento La Caucana,Tarazá,Antioquia,Conmemoración internacional,Actividades de recreación y ludicas con niños y niñas para hablar de sus derechos,Culturales y recreativas,,
Celebración del Día de la Niñez con la comunidad de El Banco,abril ,30,30,Vereda El Banco,Anorí,Antioquia,Agenda cultural WLH,Actividades de recreación y ludicas con niños y niñas para hablar de sus derechos,Culturales y recreativas,,
Homenaje a Líderes comunitarios y olla comunitaria ,abril ,30,30,Borrachera y La Bonga,El Bagre,Bajo Cauca y Nordeste Antioqueño,Conmemoración nacional,Homenaje a lideres comunitarios a través de un encuentro al rededor de una olla comunitaria ,Culturales y recreativas,,
Día del niño ,abril,30,30,,,,Conmemoración internacional,,Conmemorativas,,
"Festival del Agua, la Vida y la Esperanza",abril ,,,Isla de la Amargura,Caucasia,Bajo Cauca y Nordeste Antioqueño,,"En el marco del Da de la Tierra, se realizará una jornada de actividades culturales y pedagógicas relacionadas con el cuidado medio ambiental y se realizará la entrega de tanques de almacenamiento de agua y filtros potabilizadores a la comunidad.",Culturales y recreativas,abierto,
"Jornada cultural con la escuela popular de música y danza ""El Bonche""",mayo ,,,Corregimiento La Ceiba,Chalán,Montes de María,Agenda cultural WLH,Jornada de musicas y balies tradicionales de la región,Culturales y recreativas,abierto,
Campeonato de Ultimate en el corregimiento La Ceiba ,mayo ,,,Corregimiento La Ceiba,Chalán,Montes de María,Agenda cultural WLH,Jornadas deportivas de ultimate femenino y masculino para la integración comunitaria y la sana competencia. ,Deportiva,cerrado,
Festival Altlético Intermunicipal ,mayo ,,,Vereda Paraíso,Colosó,Montes de María,Agenda cultural WLH,Encuentros de futbol en Colosó como escenarios de integración comunitaria intermunicipal,Deportiva,cerrado,
"Jornadas culturales de la ""Escuela cuna de gaitas de Las Mercedes""",mayo ,,,Corregimiento Las Mercedes y vereda Casa de Piedra,San Jacinto,Montes de María,Conmemoración internacional,"Encuentros culturales con niños y niñas de la comunidad para transmitir el conocimiento de las musicas de gaitas, en esta comunidad que es cuna de gaiteros.  ",Culturales y recreativas,cerrado,
Jornadas de futbol para la integración comunitaria ,mayo ,,,Corregimiento San Pedro Consolado,San Juan Nepomuceno,Montes de María,Conmemoración internacional,,,,
Día de la madre ,mayo,8,8,,,,Conmemoración internacional,,Conmemorativas,,
Día mundial de la libertad de prensa ,mayo,3,3,,,,Agenda cultural WLH,,Conmemorativas,,
Día del maestro ,mayo,15,15,,,,Agenda cultural WLH,,Conmemorativas,,
Cierre VISP ,mayo ,16,16,,,,Agenda cultural WLH,,Conmemorativas,,
Día de la afrocolombianidad,mayo,21,21,,,,Agenda cultural WLH,,Conmemorativas,,
Día del campesino ,junio,1,1,,,,Conmemoración internacional,,Conmemorativas,,
Día del medioambiente ,junio,5,5,,,,Conmemoración internacional,,Conmemorativas,,
Día Mundial de Toma de Conciencia de Abuso y Maltrato en la Vejez,junio,15,15,,,,Agenda cultural WLH,,Conmemorativas,,
Fiestas Patronales de San Pedro Consolado ,junio,,,Corregimiento San Pedro Consolado,San Juan Nepomuceno,Montes de María,Conmemoración internacional,,Culturales y recreativas,,
Festival de la Piedra Caliza y el Bosque Seco Tropical ,junio,18,19,La Piche,Toluviejo,Montes de María,Conmemoración internacional,"El Festival  busca fortalecer la identidad cultural de la comunidad y la valoración del potencial ecoturístico desde la diversidad y reconocimiento de las diferencias, para la sana convivencia, reconciliación y reconstrucción de paz en el corregimiento de La Piche.",Culturales y recreativas,,
Día del padre,junio,19,19,,,,Conmemoración internacional,,Conmemorativas,,
Día mundial de los refugiados ,junio,20,20,,,,Conmemoración internacional,,Conmemorativas,,
Día internacional de los pueblos indígenas ,agosto,9,9,,,,Conmemoración internacional,,Conmemorativas,,
Día Nacional de la Niñez y Adolescencia Indígena Colombiana,agosto,26,26,,,,Conmemoración nacional,,Conmemorativas,,
Día Internacional de las Víctimas de Desapariciones Forzadas,agosto,30,30,,,,Conmemoración internacional,,Conmemorativas,,
Día Internacional de la Mujer Indígena,septiembre,5,5,,,,Conmemoración internacional,"Proclama: Organizaciones y Movimientos de América
Desde cuando se celebra: 1983",Conmemorativas,,
Día internacional de la paz ,septiembre,21,21,,,,Conmemoración internacional,,Conmemorativas,,
Día mundial de la salud mental ,octubre,10,10,,,,Conmemoración internacional,,Conmemorativas,,
Día Internacional de la Eliminación de la Violencia contra la Mujer,noviembre,25,25,,,,Conmemoración internacional,,Conmemorativas,,
Día Internacional de las Personas con Discapacidad,diciembre,3,3,,,,Conmemoración internacional,,Conmemorativas,,
Día de los Derechos Humanos ,diciembre,10,10,,,,Conmemoración internacional,,Conmemorativas,,